약수, 배수와 소수2

번호        제목                설명
1934        최소공배수          최대공약수만 구해도 최소공배수를 바로 알 수 있습니다.
13241       최소공배수          유클리드 호제법으로 최대공약수를 (그리고 최소공배수도) 빠르게 구하는 문제
1735        분수 합             분수를 더하고 약분하는 문제
2485        가로수              균일하게 가로수를 심는 문제
4134        다음 소수           √N까지만 나눠서 소수를 판별하는 문제
1929        소수 구하기         위 문제의 테크닉을 쓰거나 에라토스테네스의 체를 써서 범위 안의 모든 소수를 구하는 문제
4948        베르트랑 공준       소수를 더 자유자재로 다루는 문제 1
17103       골드바흐 파티션     소수를 더 자유자재로 다루는 문제 2
13909       창문 닫기           배수와 약수에 대한 재미있는 문제
